Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Year17,Year18,Year19,Year20,Year21,Year22,Year23,Year24,Year25,Year26,Year27,Year28,Year29,Year30
,81,74,,,48-52-81,,,,58,91,,15-58,91-52,,33,,,,,,,91,,,33-66,,,,
,,4,,,18,,,,,,,,,,,,,,,,85,,40,,,96,14,,58
27-1,14,,91,,,38,,,52,26,,,1,,,,,11-38,,,,,,,,20,,,52
,33,,,41,,,,,,,,58,,,89,,,,,15,,60,,,,,,,
,,58,,52-77,,1,16,,,,79,,,52,,57,,,,,,,,,,,,,81
33,,,,,51,,43,,,,65,,,60,88-43,,91,81,,,63,8,,,,,,,74
,95,58,,,,1-58,,,,,,4,36,,91,,,,,,92,,31-52,,,,81,70-14-81,
,,,,,,,,,,,,,,,,14,81,14,,65,,,81,,,,33,33,87
91,,,,,72,,88,,15,,81,81,1,,52,,,70,,,,16,,91-81-95,,,,,
,43,,,36-71,,40,,,83,59,52-33,,,,,,,,,,,36,,,,,14,,57-84
,,43,,81-72-31,,15,,81,,91,,15,,95-52,,,14,,,,15,,20,,,,,,
,,,,,,,,52,,,,,,,,,,,61,,,,81-52,,,,,91,
,,,,,43,,52,74-16,,4-52,52,27,70,,,,,,81,,,,,,,,52,36,8-11
,81-95,,,,27,,74,,,,,,,,,,,91,,52-71,,,,,,,,,
,43-35,,,52,,,,33-52,,,,,,,,,40,,52,,84,,91,,,63,,,74-52
,,71-52,,,,,,8,,,,,,,,,,20,,6,92,11,,81-14,,,,,
15-45,,,,,,,,52,,,,,,,,49,,,58,,,,95-95,,,,,,52
,,,,,,,,52,52-15,,,11,,86,41,,20,,38,95-36,,,,,,,,36,
,,,91,,,,8,,90,,,,,92,,,70,,,,,,43,57,,79,,,52
,,,,,,,,,,91,8,,,,16-52,4,,,,,,,11,,11,16,,15,
,52-43,81,,,,,,,43,,,,,,,,,,91,,,,,,,4,,,
15,,,,20,,81,,,,11,80,,,,91,,,69,52,,,14,,,,,,,
,,,8,,,,81-48,,,43,,,70,,33,,,,43,,,,33-52,,,,,81,
,,,52,92,,95,,,,,25,,,,,16-81,61,,,,,1,,,,,,,1-33
,,,,,,,,,,,,,1,97,,,81,,48,,,,52,,14-91,,,52-52,48
,,,,33,,,,,,,57,91,,,11,,,46,,8,,,,,,83,,,91
11-52,,,,,,1-88,,,,33,,,,,79,33,,33,,84,,15,,,92,40,,,
,,,,81-31,,,,,,63,,52,52,,58-57,,,,,,33,,81-52,,15,,,,20
85,,,63,,,,14,,48,,,,,,,91-43,,4-85,,,,81,81,,,91,89-33,,
,,,,91,,15-14,77,,,,,,,74,,81,,,14-33-33,,,,33,,,,,,
,,,,,,,81,,58-1,,52-36,60,,,,,,33,,84-33,,,,,61,,,,
81,69,,,,84-52,,,33,,,,33-91,,,,,20,,,,81,40,,,,,,3-20,
36,81,,,,,,,,,11,,,,,,,,,,14,,,14,,,63,,94,
,,,,,11,,,,43,,,26-61-24,91,,,,,25,,71,81-81-41,,,,33,70,,,
,,,31-4,20,,18,,,74,,,,48,16-81,91,,,63,,,,,4,,16,,,,8
20,64,91,,,,,36,,52,61-18,,,,,52-8,,,,33,,70,,,,11,,38,52,
36,92,,,95,,,,48,,,,,11,,20,20,,84,,,91,,,,52,,,,
,14,,,,,,14,,,,,,52-61,74,,20,,52,14,87,3,52,,,,,,82,74
,,,27,33,,59,,,87,1,,,81,89,81,,,3,,81,,,,,,,,33,74
92,,58,,,,,58,,,,,,,,,,,,,,,,,,,36,,89,
,,74,,,,,,,,92,,14,,,,33,,61,,,,,,58,,14-20,,,
,,,,,,,,,,1,,,,,,,79,,,,91,,,,,,,91,
,,,,,,,,,,,,,,,,84,,,,,82,,,,,,47,,33-16
,,20,,,,,,14,91-4,,,33,66-20,,14,70,,51-20,,1-4,,,,,,20,14-33,,52
,,,,27,,15,43,,,8-43,,52,95,,,,,,49,,36-52,,,86-79,,,,,90
,,,,,,16,,,,14,8,,,,91,48,,81-84,,,,,,,,,,,
,,,,,,,,,,33,,,,,,,33,,,,33,,81,,33,,,,
,,,,65,,81,81,,20,14,,81,,,,,,,,,,41,65,,,,,,52
91-84,,,,,,,,,,,,52,33,,,,,,,,91,,,,,,52,50-83,
1-3-14,,,,,61,70,33-58,,63-70,43,,,,,15,,20,43,,52,,90,39,,,81-81,,52,
,,,,,,,,,,,48,,,,,50,,70,,,96,82,,,43-15,,,,
36,,,,,52,,,,,,,91-14,,,,,,,,,,,,,14,,79-33,,
,,,,61,33-14,,,,,,,14,,,52,,,15-14,,,,,,18-38,,,14,,58
81,91,,,91,,,,,70-52-14,,,20,16,,20,,,,,,,,,,,,91,,
16,,,,,,33,,,,70,,57,,,60,,,51,,52,,,,,,,52,,
,,,,,,91,,,,,,,81,91,,,,,,,63,,,,,,,,
,,,81,,96-14,,,,91-1-1,,,,,,,63,,,,,,,,79-60,,91,,,
,20,,,,91,,,47,,,,84,,,,,,,,,,55,20,72,,,,,
,,,,,,81,,11,,,20,,43,,,63,91,,15,,84,,,14,96,,,81,
,8,52,74,,70,4,,58,,61,,,,14-52,,,,,,52,70,,,,,27,,,
,,,14,,58,,,48-38,,,52,,83,,,,,,,,,,,,,,72,27,
,52,95,52,91-91,,,,,,,,,,84,13,,,,,,,36,,,74,,,,
,81,,,,,,,,,,14,,,,,43,,81-83,,,,91,,,,96,,,
,,,,,33,,,15,84,,,,,,,,,91,,,,,,,,,,,
91,,33-84,43,,84,,58,,77,,,,,,4,52-52,,52,,91,,,43,74-52,,,,,
,43-95,,,52,,33,,,,,,,,,,,52,,80,27,,77-79,,,81,,,34,
88-55,,70,,,27,33,58,,,74,,,57,,,52,81,,,,,,65,,,48,,,
,1,52,,,,,52,,48,52-74,,,,,,79-15,,,,,,63,,,,,,,
,20-16,16,,,,,,,52,16,,52,,18,50-91,,37-1,,57,52,81,,81,,,33,,,
,,36,,52-91,,,,,,33,,81,,,,,,91-65,,,57-36,,1-83,,,,,14,
40,71-91,52,,,,,18,,,,,31,,,,91,,74,,91,,8,8,,,,96,89,
,81,81-52,,,,,52,40,14,,,,,,,,,,,,52,,20,80,,49,,52-81,14
,,,35,,51,,,8,74,,,,50,27,,43,,,,,,20,63,91,,,,,
63,36,,,,,,43,,1,,,,,,,52-11,50,,,,,11,36,,,71,,43,
,,,,,,,91,74,,,,,,81,,,,,95,,,,,,,71,,,
,52,,,33,,91,,,,,95,,,,33,,,33,,14,,1,71,,,,,,
52-1,21,,,52,,,,,,,,,,,,,,,,,,,,,,4,,81,
,52,,,61,,33,,,,,,,,,,31,8,,,,77,36,,81,,,,,14
83,,,4,,,,,,14,,,,,,52,,,,,,,,14,,,,,,
,,91-52,,38,63,,,,,,,,72,,,91,,,,,,81,,,,,95,,
,81,,,20,,,81,52,,,,,,,20,,,,70,,,,33-96,,,,84-91,15,
,,,,,,,33,,,52,14,,,,,,33,,,,,,81,38,,,87,,4
43,,,47,63,,,,74,,,,58-85,34,83-16-96,,,,,,91-96,,,,,,,,,
20,,36,,,27,,,,,52,,43,,52,,,,,14,,,,,,,,,,
8,,20-12,,,49,,,52,,,52,,,48,,74,,,,,,,,,45,,,,
48,,83,,,,,,52,,52,,,,,,,,81,,,,,81,,,,74-33,,
,,,11-81,,,1-31,52,,,35,90,,71-20-96,,,,,,,,,,,,,,,,61
96,33,14,,,,,74,,,,92,,,,6,90,,,,,,80,,74,,,,57,
95,,,,,,,,,58,,,,,43,,,,,,,,,,,48,,,95-3,
91-43,,,,,,,4,,,,,,,,,91-33-81,33,,,,,52,,52,,,,,
,,,,,,,,91-96,,,24,,,,,,,,,,,,,,,,,,
52,,,8,,81,,80,20-33,,12,,,,,15,,,,,38,14,,,,,4,,,
66,,,11,,,,,,,74,,,,,49,,74,16-57,14,,,,,61,81,,,1,
,,,91,52,,,,,81,,,,,16,92,91,,,58,,,,,,14,,,,
1,,96,,,,,,,,,85,,,52,,,,8,84-91-38-50,11,,20,,,92,,90,,
,,18,20,,58,,,,8,,,33,74,33,,,,,,,,,,43-20,52-33,66,,,
52,,,,52,58,,,,27-91,16,,,,8-1,70,,,,,,43,91,,,,,,,
,33,,,,,83,95,,,59,,,,,23,,91,,,96,,,,,,81,,52-26,61
,,,,,,81,,,,,,,52,63,,,,,,,,41-14,,36,,85,14,20,
,,,,,33,97,,,,14,4,,,,,,,,88,,,,91,,52,,,63,
,57,,,,,,,33,,15,,52,49,,,,,49,,,,18,,40,,1,,,
,,15,,,83,,43,,11,,,,,,,40,48,1,,,,,,,25,,,,
,,,,,87,,,,58,1,,,,95-91,,,43,,,,,,,,,,,,
,81,,,,,,27,52,,,90-43,,,,,,,,,81,,,,11,,,,,
,,16,14,,,81,,,,,33,,,,,,,,,,,,33,,,,,,92
,,,,,,,,,,,,,81,,,,,,,,38,,,15,1,,95,15-16,81-63
,,,,,37,,,,43,63,,52,,,,,57-47,91,,,32,70,,,,,,,
88,,,,,81,,,,,,14,,,,28,,,,,,52-91-81,,,,,36-97,,,
50,82,,,,,,,,52,,,1,,52,,,,61-48,14-70,,,,16,,81,,52,,
52,,,,,,,,15,,,91-48,,,,,,52,,,,18-91-63,,91,,,81,,,8
,20,4,,,81-12,31,,,51,,,91,,14,90,,41,,,,,,,33,,,,,92-52
20,,,81-91,,52,,84,,,,,,,52,,,,,14,43-71,14,,35,84,,84-11,,15,43
,,,,,,,,,,33,26,65,,,,96-91,,,33,,,,,81-20,52,52,,,84
,,16,,,81,,36,,,,38,,,65,8,52,,91,84,,,,,48,,,,,27
,,,,,,81,90,,,53-58,,,,26,52,52,,,,81-81,,,14,,,,,86-33,
,,39-12,,,,,,2,,,,,,40,,14,,,,,,57-65,,92,,1-40,,52,91
,,,,33,27,,,,,,,33,,97-71,90-52,,69,,52,,,,81,21-14,,,81-16,,
84,,,,,,,,,,,,,20,92,91,,,,,43,14,,,81-91,,,52,,
,,,14,,,,1,,,,,61-74,43-79,72,33-15,43,36,,,,,57,40,14,,6,,,
65,33,,,,43-38,16,,,87,,,92,,,,,,,33,,,63,,,,,,,
8,,,81,52,,,81,95,,,,,,,,,,8,,52,,,,,,,,74-81,33
,,,,,,,14,,,,81,,81-90,,52-58,,,,20,,55,,85,,,38-71,,36,81
,,,,,,,,43,,,52,,,,,,16,74,38,,,,,20,,,,,
,,,,,,52-1,33,,,,91,33,,,,,91-50,,52,,,,,,,26,,,
,,,81,,,,,,,,,20,,,,,,,96,,,59,,,,,52,,
,,,,51-91,,,,,,,,,,,66,,81,,,8-14,,,,,,,,,
81-36,,,14,,81,8,,41,,,61,,91,,71,,,84,,,,,14,,,,,91,
,,25,,,,26,,,,60,74-63,38,,,65,,,59,52,,,40-14,,,,,33,,52
,,,,,,,,15,,14,,,,,,,,,92,,,,,,71,57,15,,
,,,58,,,,,63,11,,,,11,,,,1,,,91,,43,81-65,4-81,65,,,,14
57,,,3,,,,,,,20,,81,,,50,,,,14,61,,61,,,,27,,,
,,,33,,,95-11,,26,,33-33,,40,91,,,,,91-1,,,52,,84,,38,,,,11
,,21,,,,84,,,,52,,81,48,,,,,,,,,,,,,,91,,
16,,,,,43,,,,1,,,,,,20,4,,8,,,,,,,,,,,
20,85,,84,,,,58,,,,,,83,8,43,92,,,,38,,57,,33,,,,43,
,24,,52,43,,,,,,,,40,1,77,,,,,52,,,,,,,,,,
,,,14,,,,33-52,,,14,94,82,,8,,8,81,,1,,,,,,,,,70-81,58
,,,14,,14,27,14,,52,,,,,,,,91,91-91,69-81,,,1-91,72,,,52,,92,
,,33,14,52,,91,36,,,58,55,81,52-58,84,,,,,,,,,,,14,,,96,
81-65,53,,15,,,58,,,,,,20,,,,,1,40,,70,52-81,52,,,,20,1,,70
33,58,,,91,,,52,,33,,,,,,58,,,74,,,,,33,91,,,81,52,
,,,,,,,,,,,,,20,6,52,,,,,,,,52-28,,,,,,
20-11,,33,74-40,,52,,,,,83,,,,,,,,,33-91,,81,,,,,,60,40-85,
,8-52,,63,,,81,,92,,,,,,,,,,,52,,,,81,,,,,,33
,,,,,,,95,95,,,81,,,,79,84,,,,,,81,81,61,,,91,1,
,,,90,,15,,,,,,,,,,,,1,,,,,,,,,,,,
33,,,,,,,,,,14,,,,91,,,,,,,,,74-18,,,77,,,92
81,,33,,,,,91,,,,,,,,33,,,33,43,,,,,,,,,90,
,,,43,,15,33,58,58,,,,,,,1,,,,,14,91,,,,,,,,91
,,81,14,86,,33,,,,,,,91-91,91,,,,,1,20,,36,,81,,81,,,
,,,,,,,15-11,,,,,,,,,,81-25-14,83-57,91,,,,,,,,,74,
95,,84,,39,,,40,,,,,72,20,82-81,36,,,,,,,,,,88,91-20,,,
,79-57,,,,,,,43,,,,50,,79,,,,,97,52,,21,,,,,,,
,58,,,81,,,,3,81,33-1,81,95,16,,,,,61,,52,,,,,,90-79-81,33,,
,,,,,61,,33,,,,,58,,,4,,,,,81,,96-36,,,69,,,84,
95,,,,,14,,,,91,,,,,,,,,,,,,,96,,,,95,,81
35-58,20,,,,,,,,,52,14-61,,,,83,,,,60-81,,,81,,,,4,,,
,,,14,52,,,,,96,,,,,,52,,,,,,66,,,,,,,,
52,,,,,,,,,,,,,,31,,8-14,,95,,,65,,,,,,,,
,,,52,27,,,11,,,43,,,,,,,,,52-14,,,,74,,,52-18,18,,81
,,63-71,,,,,,,,,14,,,,20,,,52,,,,32,,,,,70,,
,72,,46,,72,43,,,,,,,,16,,47,,,8,,92,,33,,,43,,,
,,,,,70,,,,,,52,,,33,,48,,,,,1,,,,,,81-52,,
,,50,,,,,,81,,,,91,,,33,,58,,,,,,1,65,52-91,33,,81,
,14,91,,,69,,33,,,,,,,,,,,,,,52,,,,,,33,,
,,,,,,,,60,,,,,,,,,,,,,,,,81,84,91,,33,
,,,,26,58,,52,,,81,,,,,,,14-81,,,95,,,,91-71,,,,,
,,63,,,,,,70,,52-97,,96,,8,,33,,,,,,11,,,52,,,74,33
,23,81-96,,,,33,,87,91,,48,91,,91,,,,91,,,,,,,,,86,,
,,,,,11,,1,,,,,,,,91,,77,,,88,,,,,,,,,
96-84,,,,,,,,38,,,,,,,,,,,,,33,,95,,,,,,
,79,94,63,,,,,,52,,,,11,,1,,,,,,,,57,,58,,,,
65-74,,,43,14,,81,,,43-52,,,,52,91,,,,58-83,,,,,52,,,,,,
,20,40,,,52,33,,,,,,83,,,,,,,,,,,37,,,,,,
,,,,,,,,,,,,,6,52-33,,,95,49,,,,52,,,,,,,
8,91-96,,,72-81,33,14,,,,35,,,,,,,,74,92,,,52,,,,88,,91,
14,14,,,,43,,,,,,,,,,65,,57,52,,,,33,,,65,91,,,81
70,91,38-69,,,,,,,,33,,,,,,,,,,81,,,,,,,43,14,
,,18,52,51-14,,,,,,,,,,81-14-81,,,,91,,,,,,,,,,,36-33
,14,,,,36,,52,,95,,,,,,,,,,33,,,52,81,91,,52,,,
,,,,,,,,96,,,6,57,,52,,,80-55,,,,,,,,,,,,
,,71,,,,,,,,91,,61-52,91,81,,91,,,,,,,,91,,,,,
,52,91,,,,20,15,,,,18,,95,,,,,20,52,92,,14-70,,,,14,96,,
,,40-11,14,,,,52-8,,,,60,,96-85,,81,,,52,43-81,,81,,,23-36,,,,,
,,,,,,,95,,,,,,49,,,,,,,43,,36,81,,,,,,33
,,,,86-4,14,81,,,25,65,,,57-18,,,52-61,,,,,,14,,,,,,,
11,55-91,,,,,,,51-91,,91,,81,,,,,,,47,,,14,33,43,,40,95,,
81,61,91-20,,,,,,,81,92,,,20,,,,,,,12,,,20-81-11,57,,,,,
14,,,,49,15,,81,,16,91-46,,,,69-81,,,,,,1,36-84-16,,,,96,,,52,81
33,52,,70,,,,,52,,,,33,,,,,,,,81,,,43,,,,71,52,
83,,14,,33,36-92,,,,,20,,,,,48,81,52,91,,,,,,,,,,,58-47
,,,61,,72,,,81,,,81,74,,,,,61,33,,,,,,,,,57,,
,83,50,92,20,,,,,,,,,,,,,,,,,,,,20,,,,,
,50,,14,,81-91,,,8,,,,,,,,27-33,,,,,74,,14,,,,,,
72-18-24,,61,63,,,,,,,36,71,,63-52,,,52,,43,,,,14,,,,,13,,27
,,,,,71,,,65,,,50-6,,,55,,,63-92,91-77,95,,,1,70,,,81,,91,64
,,,70,,,,,,,86,14,,,,,,,,,,38,,,,,,,,
,,,,,,,,52,65,,,,,,,,,,,,,,,,,,,,
,,,,20,,,14,97,74,,,65,,91,,,,,,,,,,52,33,,61,,
,,81-33,,,81,,,,,63,,14,72,83,,,,,,1,,,,52,,,33,,
91,,,,,,,,,,,,,,,,,,50,,,,,,,95,,,,43
66,81,14,,,,14,58-79,91,14-1,97,,91,65-36,16,,,,52,18,,,,14,8-81,74,,,,
,,,,,,,,,,,,14,,4,,43,,,,,,,20,97-43,,,,14,
,,,,81,,,,,,11,,,,,,,81,77,,33,,,63,33,20,,,14,
82,82,,,,,,4,,,,,55,38,27,,,,,,,1,,,35,,,,81,
41-91,36-8-69,,,,,91,,,,,,85,14,,11,,74,11-81,,,,,,80,,,,95,
,,,96,,,,,,,,,,,,,,,81,,,,,,51,,81,95,3,91
65,33,,,,52,,58-14,,8,1,,,,81,80,14,,11,,33,,,,,91,,,,
,81,,,,,,,,1,,1,,,,3-92,,,,,,,,,,,,,,
1,,91,52,,,,52,,8,20,58,,,,,,57,,,,,14-52,58,96,,95,,,69
,,,,,,,,,,,11-8-43,,,,,,,,,,3,,81,,,,35,,
,,,33,,,,,,,,33-71,,65,,,95,,,,,35-77,,,,,81-74,20,95-52,
33,,,,63,,,38,,82,,,,,,,14,,,,,,89,91,,,18-8,,91-91,
,,,,,,,82,,,,,,,,20,,,,,,,,33,,,,43,,
71-96,,,,71,,85,,16,,,,81,,,,1,57,,,52,,74-72,14,,,,91-57,,
33,,3,,37,91-97,,,,,15-70,,,,,,52,,,,,,,,,8,,,,92
,84,,14,43,,,,,,,,52,,52-14,,,,,91-91,,,,14,95,,,,,
81,,,,,20-57,,48,81,,,,91,,91-96-52,,,,,,,,,,,,,81,36,52
95,,,26,52,52,,,,,,,,,,38,20,,,,,,,,,,,,,14-81
,,8,,,81,,,,,,,,,,,,,86,,,52,,97,,,95,95,43-51,
4,,,,,14,,,,,33,,43,,,33,,,52,11-1,33,,,,,70,,,,
,,,,33,,,,,26,,,70,,,,1,52,48,,,,,,,,,,33,
,97,8,91,35,70-14,14,18,,,,,81-25,,,,,,,,,,,,,,27,,,
,,,,,,61,33,,,,,,43,,95-16,43,,,,,,,,3,14,,33,14-33,95-20
,61,81-52,,48,,,,,,,,,52,14-16,,,,92,,,,,74,74,,,,,65
55-84,,,,,48,,,,,,,,63,81,,4,52,8,33,,,16,,,,,20,,
,,,50,61,,74-74,95-91,,40,,,,,48,86-81,,33,,11,,,4-38,,,,52,,91,48
18,,,,,,,,,,,,91,,,,,91,,,,52-69,,52,,52,,,58,
51,,,81,1,,,52,,3-33,,,,,33-25,33,,,,,,,,,,12,,,18,
14,20,,52-52,90,11,11,33,14,,57,14,,,,,,33,,,,,14,,,50-11,50,,33-15,
,,,,,,33,,,,,47,33,33,,,,,18,,,,,,,,,,,52
,,63,,,,,,,,,,,,81,,,,33,,,,,,14,,,,91,
,,,,,,,,,26,,,,,,52,,65,,60,,,33,,,,,,,11
72,33,,,,,,,,91,14-72,95,,,,,8,,,,,33,20-70,,,,,,,
,,,14,,,63-72-33,96,36,,20,52,16,33,,,,,,15,,,,92,,81,,,,
,,27-81,,,33,1,,52,52,,52,,,,,,,95,,20-2,,,43,,26,,91,,
,52-8,,,,,,,,,92,,,,14,79,,,,64-91,,,,,4,,,20,,91
,,,33,,,,,,,,71-14,,,52,,,,,,,,,,,,,,91,90
,,,,,26,,14,,,,,66,,,,14,,,,,,,,,,33,,,70-52
33,,14,,1,,26,,,,,,,52-33,34,33-50,,,50-91,,,81,,,,95-43,,,,
15-81,,,81,,,,40-52,,,,,,,,,27,36,,,38,,,,,,52-61-33,,,
50,,,,52-57,,51,,,71,,,91-70,,,95,,,,,95,14,,92,88-27,,,,58,
,14,,43-14,89-69-40,,81-52,,,,,,,,38-34,,,61,,,91-80,,1,,,,81,,,52
91,,,91,,,,,,81,,,,,,,,,,,33,57,,,,81,,,51,57
,,,,1,,,,52,,74,,,43,38,,,,8,,,,52,,50,,,,14-1,
92,,,,87,,,,91,,,,,,,,13,,,,,,,,,,33,81,,
,,,,74,,,,20,,,3-92,,41-92,52,,66,52,92-57,,,,,,66,81,14,,,
,,1,,,41,,,,,,,,,52,,,81,,,,,,52,81-15,,,,,51
,43-74,,,,,72,,,,92,14,61,33,,,63,32,,,,,14,81,58,,71,,,
,,,,,,,14,36-20,,,,,,,81,,52,,,,27-16,,,71,,,52,81-20,
,,,15-91,,,,81-52,,81,,,,,,,72,81,,,14-92,,74-95-91-36,,,,58,,91,81
48,,,91,,,,,27,,,,,,,,,,81,,8,11,3,52,,,,,,
,,,20,,,,,,43,,81,,,,,,58,91,12,,,14,,91-74,,,,,
,,91,,61,,,,43,,,,70,77-95,,,,,,,,,,,,70,,,14-52,
,90,,,,,,71,,,,,,74-81,,,,,,,,,,,58,,84,38-11,,
,,,,,91,,,,,,33,,14,,,,,,,,,,14-33,,,,,33,
,,,,,81-92,,,,,,,,,,,,,,21,33,,14,,,,,34,,
,8,,91-91,91,,14,,,,,58,92-12,,,,,,,,1-43,52-52,14,,,,82,,,
8,33,,,,27,,,12,,,52,,51,,,,72,40-81-91,52,,,,,,72-91,,38,61-70,
,,,,,,,8,,,91,,95,,72-97,,,,81,,,,,70-95-20,52,,14,74,43,74
,43,52-14,,49,26,14,,58-14,,,83-8,,,,,,,,,,,,,,,,52,,14
,,52,,,88-58,,,91,,96,,36,,,50,3-92,,,,,26,,96-45,,,,,,52
,57,52,14-77,,,,,,,,81,,,,,,,52,,,,,,74,84,,,,
,,,,,,,,,,,,,74-50,,,,,,,,,,,,,81,,,
14,25,,,,20,14,,43,,,,,,,,,,,52,,,11,,1,,,92,,
,,18,,,,86,20,43,,,,33,,91-43,,,,13,,,,,,,14,,,,
,,,56,65,16,,,,81,,,,,,52,,14,,,37-47,,52,60,,,,91,,52
38,81,52,,,,,91,,61-1,,,,,,,,43,52,23-15,,,33,,4-91,,,,14,81-33
,,,,,52,,,,,14,21,,58,,,11,,,69,,,20,,50,,,85,,
18,,,,,,,,81,50-1,63,61,,,,,,,52,52,,11,15,,,,82,81,35,
43,14,71,,,65,52,,,14,58,,,4,,,33-33,,,20,,,,,,,,34,,
,38-90,33,,,81-1,,,,82-63,,8,,,,,,,,,20,14,,,,,43,,,14
,,,,91,,88,,,66,,,,,96,27,72,,,,,33,,95,20,,,52,,1
,,,,,,,,,,8,,50,36,,,63,,,14,,,70,,,,95,,,81
,,,,91,,83,,,,,,52,,,,,,,,,,,,,,48,,52,
,52,,58,,,,,32,95,,,33-12-74,,,,,,33-52-8,,,21-14,4,,,48,,,,
87,,52,,,91,,,,8-16-91,,,,,74,,,,,,,,95-33,,,,,52,,
,,48-52,,,,,70,,,,81,,52,,11,33,,,,52,,52-8-1,,33,,,,,58-14
,11,81,95,,43,,,,,52,,4,74,,14,,,,16,91,,,,,,,,,
,,,,16-91,,,81,20,,,,,,,,,1,,,,,,,77,,,,14,
,,,,,,,,,81,,,91,,14,,,50,,50,34,31,,81,,,,,69,1
,,,,11,64-38-18,,,,,,1,,77,,52-91,,,,52,,,,,,,20,52,,
,,91,,52,,,,,,37,,,8,,,,,,,,38,,,,,52,52,,52
,36,,61-15,,,,33,33,,,,,33,,,,52,,,,,,40-72,,33-81,,88-91,,
33,1,,,33-71,81-77,91,,,,,63,63,,,88,,,,33,,,,94,,77,1,,,
,91,,,,,,40,,15,52,,,,,31-4-34,,,14-50,,14,52,,,,,,,91,
,,95,,52,,20,,91,,,52,43,,,,81,81,,84,,,,81,80-14,,,,,52
,65-15,,,,,33,,43,41,,,,33,,,49,,,65,,,,,,,,,,
,,,,52,,,,,,,,,,,,4-43,96,,92-31,,14,11-61,,,,,,,
,,,,,,33,3-25,35-72,,20,,14,,,,,,,83-81,,,,,84,,,52,,
33,,70,,,,90,,,,63,,,92-52,,52,81,,,48,38,,,,,,,,83,
1-91,,52,,,,,,,,,,33,,,,,,12,,,,,,,,,,,
,,,,33,,,,,61,,,,,91,,58,55-11,,11,33,,,,,,,,,52
,1,61-20,11,81,,,,,,74-15,,,,,84,,,,,,,,,,,8,,91,
,,41,,,,,,,,,,48-52,52-33,,,52,,,,33,52,,,36,,,,52-18,81-35
91,,,65,,70,14,,,,,,,,95,,,65,,52,,,,,,,,,,
,,1,2,1,,33,,,,,43,33,,,,,,,,11,,,,74,74-33,,,,
,,,91,,,96,,14,,,,,14,87,74,14,,84,,,,,,,,,52,27,
,,,91,,,33,,,,,,14,,,,,95,,,,11,,95,,70,,,,
,,,,81-8,,,,61,,,,,,,14,52,33,,91,,,,,,16,,,,
91,,,,,,91,69,,14,,91-92,81-14,,,33,,,33,,,,,,,,,,,
,,65,91,81,,,58,,91-33,,,97,,92,,,84,,36,,58,,,,,,,,
,52-70,,,,,,,,,96,92,,,,,,,32,,,,,,,,1,8-11,,16
,,,,,,,,,,,,,81,,,,,,21,,,,65-71,,,,,,
,33,,14-58,,,,61-57,,,33,,,,43,91,,,84,,,,,,,,11,,,
,,,,,,71,,,,91,91,33,,,,52,,,,,,,27,,,,,,57
,,,31,57,,,,,,,6,,,,81,,,,,80,,,,84-72,,,,18,
66,,,,,,,14,,,,,43,,,52-49,,,61-52,,,8,,,,14,,52,,
52,,,25,,,52,,,14,,,,11,31,33,,,,,,,,,,74,,,,
,52,52-91,,4,36,,,38,,,,,,,,,,,,,52,,,90,,85-81,,38,
91,,,11-50,,,,,,57,92,81,,,,,,,,,,,11,,,,,90,27,87
91,81,33,58-14,,,,,,61,,96,,,91,,47,27,,,,,,81,,,,,,
,14,,,14,,,51,,,4-11,,,,,81,,27,,,,,,,,,,91,,
,,14,,,,,3-81,,,,,,84,,8,,,,,,,81-16-14,52,,,81,,,
15,,,,,,85,,,,58-14,,50,87,,,,,,,,,,,,,,,,
6,,,,74,,52-8,,,,20,,,,14,,,,,63,,,,,,91,,33,35,
,,52,,,27,,,,,,,,,,,,79,26,,,,,95,,,63,,52,
33,,91,,,,,,,,91,52,,,91,66-74,33,20,13,,,,91,37-4,,,,91,20,
59,,81,,81,,52,,33,,,,,,,20,,,,,,,,,,,14,,,
,,16,,,81,24,,,,,4,,,16,,52,,,,64,,81,40,,74-48,,,91,
,,,,20,,91,,,81,,96,81,,,74-81,49,,81,,,,,95,91,,,96,,
,,,,,,,,,,14,81,,,83,,,70,,,,,92,,,,96-43,,,71
33,,14,81,,52,,,,,,,,,,38,,35,81,,,39,52,,,61,52,,,14
,,14,15,,,,,,,,8,,95,,,70-58-43,,,,81,,,,,,,,,
15,,,,43,33,81,,,,,33,,,58,,,,20,,,95,,,,,,,,
,72-52,,,83,,,,,20,20-91,8,,,,,33,,20,,,,,,31,,,,,
,,52,,,38,79,52,,91-43,52,,,,,79,,,,,,,,,,,,,,
,,,,,,,91,,,57,,,,,,71,,11,,,,64,,,,,,,
,,,,,,,,,,33,,,,50,81,50,,,,,,,,,,40-52,,96,
,,,,,,,,,4,,,,,,,,14-33,,,52,,91,58,,81,,,,
38-83,,,,,,14,,,36,81,,,,,,,,,,,91,,,,31-52,,,79,14
,,,,,,,,,,,,,,,43,,72,,,,33,,,,27,,,1,
,,,,,,,,,14,,,,,,,,,81,,33-81,,,,52,,,,,52
,,74,83,,,14-33-52,15,,,,,,90-95,36,,,,97,70-70,61,,74,66,51-57,33,,,,91
91,,84,,,,,55,,,,,,33,,15,,,,,,,,81,33-81,,58,,,
,63,,81,,38,15,,96,52-18,,,,,,,14,,,,,,,91,,81-33,,27,,
