Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Year17,Year18,Year19,Year20,Year21,Year22,Year23,Year24,Year25,Year26,Year27,Year28,Year29,Year30
,52,,33-33,,41-61,63,,14,33,,,,52-81,,,,,32,,,,,20,,,81-27,52,,
,,40,,,,,,,,,,,,91-92,,,,,,91,,,,,14,,,,
,,,,52,,,,,,,,,,,,,,,,11,,,,,58-33,,,,
,,91,,15-11,,,,,,,,59,,77,,14-52,,20,36,16,,,20,,,,,,
,,,,,,31,81-81,,,61,72-65-52,52,92,,,,15-71,,95,,,,71,,52,91,,,
,,,,71,,,,,,,,,8,81,58-51,52,,,,,,,,14,1,,,43,33
,,,,,,,,,,,,91,52,,,,,,,,,,,,91,,,,
14,,,,,,,,,84,81,,,,,72,,,,91,,,,,,,,,,
,69-63,,,33,,33,20,,,,14,,,,96,,91,33,14,,,3,,,,,52,,36
,55,,,86,,,,,,,,,,81,,,,,49,,,,,,88,,,61,40
,81,43-59,,,,81,95,,83,,,,,71-15,,,,24,,,,14-58,91,,,,,,
52-74,,,,,,,,,,,,,,,57,16,,,1,,,63,84,,,8,,,58
,1,43-91,,64,,50,,,,,,,81-15,,,,,,,,50,,11-91,33,43,,,,
33,,81-72-81-91,,38,,33,,74,,,14,,,65,,,,,74,,,94,81,,91,16,,,
,82,,,,,,,,95,,,,52,43-23,,,,,,,,,,58,,,,81,69
,,,,,61,81,50,,,,,,,,,91,26,71,,,33,,,24,,52,58,81,
11-81,,91,,,,,90,80,,,,,,,,,,,35,,,33,33,,,,43,81,15-27
,,,,86,,81-58,,,,,,,3,,,,,,,,,91-52,,,,,,,
3,,,14,38,,,,,,72-14,82,15,,91,36,81-58-90,95,,81,,,,52,28,65,,,,
,33,66,,,,,,,81-70,,,,,50-8,,,96,,,79,,57,34,,48,,14,,
87,,36-4-11,95-81,,,,,,52,27,,52,,,,,52,,,71,,15,,,,70,,,
,,15,,,52,81,,,28,95-33,,20-8,,91,43-63,,,91,,,,,,,,14,,,16
92,,,72,,,,,,,,,,,,,,,,,90-52,,,,,14,,,,
,,,77,52,15,15,,,33,,14,,,52,91,,,8,,,,96,,47,3,,,,
,,,,96,14,52,2,,65,1,,,,,,63,,91,14,,95-31,,,57,,,,52,
81-27,39,14-20,,,81,,,,,,,,,,,,52,81,,,,,41,69-36,33,33,,33,
,,52,,33,,8,,,,33,,71,43,,,,,,,,,,81,20,,,,,
,52,,,52,,,71,,,,,,1,91-36,,,36,,20,,,11,52-1,52,,,,8-81,
,,,,,,51,,,,,,,52,,,,,,,,,,81,,,,91,,
,,4,,,,52-81,,,,,,,,52,81-52,,,84-14,,91,14,,,,,31-4,,91-14,1
,,,74-14,,,61,,,58,,,,,,,,,,,,,71,,40,,15,,58,
,4,,,,,,,,,,,,,,,,,,,,,,,14,,20,,,
,,,,,,,,,,,,,47,20,,,43,,,,,,,,,,,,
43,61,,,,,,,70,,,,,81,,,,,,,,,33,,,,52,,,
,,,,,91,,,,,,,65,,,,70,,,,92-52,13,,,,,,,,
,,,1,96,,,,,,,,,,,,,,,1,70,,86,91,,38,,,,
